date,store_nbr,item_nbr,units
2012-01-01,1,9,29
2012-01-01,1,28,2
2012-01-01,1,51,1
2012-01-01,3,45,112
2012-01-01,4,9,61
2012-01-01,4,27,21
2012-01-01,5,16,24
2012-01-01,5,32,1
2012-01-01,5,37,16
2012-01-01,6,9,44
2012-01-01,6,45,86
2012-01-01,7,7,2
2012-01-01,7,23,16
2012-01-01,8,5,38
2012-01-01,8,23,4
2012-01-01,9,5,131
2012-01-01,9,10,4
2012-01-01,9,45,72
2012-01-01,9,93,4
2012-01-01,10,5,98
2012-01-01,10,37,32
2012-01-01,10,93,3
2012-01-01,11,9,74
2012-01-01,11,68,48
2012-01-01,12,16,29
2012-01-01,12,37,28
2012-01-01,12,79,2
2012-01-01,12,93,1
2012-01-01,13,5,77
2012-01-01,13,36,121
2012-01-01,13,46,1
2012-01-01,14,9,8
2012-01-01,14,50,2
2012-01-01,14,70,2
2012-01-01,15,5,64
2012-01-01,15,17,2
2012-01-01,15,45,108
2012-01-01,15,49,2
2012-01-01,16,16,25
2012-01-01,17,37,85
2012-01-01,18,5,18
2012-01-01,18,37,17
2012-01-01,19,16,21
2012-01-01,19,83,10
2012-01-01,20,41,37
2012-01-01,20,74,5
2012-01-01,21,5,58
2012-01-01,21,44,129
2012-01-01,22,9,37
2012-01-01,22,68,47
2012-01-01,22,93,3
2012-01-01,23,5,58
2012-01-01,23,29,1
2012-01-01,23,45,35
2012-01-01,24,6,42
2012-01-01,24,43,72
2012-01-01,24,60,1
2012-01-01,25,9,126
2012-01-01,25,45,90
2012-01-01,25,81,11
2012-01-01,26,5,64
2012-01-01,26,45,68
2012-01-01,27,9,26
2012-01-01,27,68,42
2012-01-01,27,80,1
2012-01-01,28,5,65
2012-01-01,28,45,68
2012-01-01,29,8,14
2012-01-01,29,41,37
2012-01-01,29,45,98
2012-01-01,30,16,16
2012-01-01,30,44,120
2012-01-01,30,49,1
2012-01-01,30,51,6
2012-01-01,31,9,40
2012-01-01,31,45,83
2012-01-01,32,9,65
2012-01-01,32,45,46
2012-01-01,32,58,8
2012-01-01,33,85,1
2012-01-01,33,92,1
2012-01-01,34,9,36
2012-01-01,34,31,1
2012-01-01,34,52,1
2012-01-01,36,9,41
2012-01-01,36,44,94
2012-01-01,37,5,77
2012-01-01,37,45,53
2012-01-01,39,9,2
2012-01-01,39,36,6
2012-01-01,40,5,76
2012-01-01,40,45,48
2012-01-01,40,51,1
2012-01-01,41,16,42
2012-01-01,41,68,95
2012-01-01,42,45,98
